問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号(0-3),カテゴリー(パーティ/歴史/マインクラフト/F1/競馬),難易度(1-5)
2020年のローズステークスを制した馬は？,リアアメリア,ムジカ,オーマイダーリン,デゼル,0,競馬,4
2021年の神戸新聞杯を制した馬は？,ステラヴェローチェ,レッドジェネシス,モンテディオ,シャフリヤール,0,競馬,4
2022年のスワンステークスを制した馬は？,ダイアトニック,ララクリスティーヌ,ルプリuフォール,ホウオウアマゾン,0,競馬,4
2023年の武蔵野ステークスを制した馬は？,ドライスタウト,タガノビューティー,レッドルゼル,ペリエール,0,競馬,4
2024年の京阪杯を制した馬は？,ビッグシーザー,ウインカーネリアン,モズメイメイ,エイシンスポッター,0,競馬,5
2025年のカペラステークスを制した馬は？,テーオーエルビス,ガビーズシスター,チカッパ,メタマックス,0,競馬,5
2020年のステイヤーズステークスを制した馬は？,オセアグレイト,タガノディアマンテ,ポンデザール,アルバート,0,競馬,4
2021年のカペラステークスを制した馬は？,ダンシングプリンス,リュウノユキナ,オメガレインボー,モズスーパーフレア,0,競馬,4
2022年の阪神カップを制した馬は？,ダイアトニック,グレナディアガーズ,ラウダシオン,バスラットレオン,0,競馬,4
2023年のターコイズステークスを制した馬は？,フィアスプライド,フィールシンパシー,ミスニューヨーク,ソーダズリング,0,競馬,4
2024年のチャレンジカップを制した馬は？,ラヴェル,ベラジオオペラ,ボッケリーニ,エピファニー,0,競馬,5
2025年の中日新聞杯を制した馬は？,シェイクユアハート,ヤマニンサルバム,ハヤヤッコ,リューベック,0,競馬,5
2024年のJRA賞で「最優秀4歳以上牡馬」に選出された馬は？,ドウデュース,イクイノックス,タイトルホルダー,ジャスティンパレス,0,競馬,2
2025年のJRA賞で「最優秀ダートホース」に選出された馬は？,フォーエバーヤング,ウシュバテソーロ,レモンポップ,アマンテビアンコ,0,競馬,3
2024年にJRA顕彰馬に選出されたのはコントレイルとどの馬か？,キングカメハメハ,ブエナビスタ,モーリス,オジュウチョウサン,0,競馬,3
2025年にJRA顕彰馬に選出された馬は？,イクイノックス,オジュウチョウサン,ブエナビスタ,モーリス,0,競馬,3
2024年のJRAリーディングジョッキー（最多勝利騎手）は？,C.ルメール,川田将雅,戸崎圭太,坂井瑠星,0,競馬,3
2025年のJRAリーディングジョッキー（最多勝利騎手）は？,C.ルメール,戸崎圭太,川田将雅,横山武史,0,競馬,3
2021年5月8日にJRA通算1000勝を達成した騎手は？,吉田隼人,藤岡佑介,北村宏司,三浦皇成,0,競馬,5
2022年12月4日にJRA通算1000勝を達成した騎手は？,松山弘平,田辺裕信,浜中俊,三浦皇成,0,競馬,5
2023年6月24日にJRA通算1000勝を達成した騎手は？,三浦皇成,藤岡佑介,北村宏司,丸山元気,0,競馬,5
2025年11月時点で、日本の競走馬として獲得賞金総額（海外含む）が歴代1位の馬は？,フォーエバーヤング,ウシュバテソーロ,イクイノックス,アーモンドアイ,0,競馬,4
2025年11月時点で、日本の競走馬として獲得賞金総額（海外含む）が歴代2位の馬は？,ウシュバテソーロ,イクイノックス,アーモンドアイ,キタサンブラック,0,競馬,4
2024年の有馬記念を制した馬は？,レガレイラ,スターズオンアース,ドウデュース,ベラジオオペラ,0,競馬,3
2025年の有馬記念を制した馬は？,ミュージアムマイル,レガレイラ,ドウデュース,スターズオンアース,0,競馬,4
2024年のジャパンカップを制した馬は？,ドウデュース,リバティアイランド,タスティエーラ,スターズオンアース,0,競馬,2
2025年のジャパンカップを制した馬は？,カランダガン,オーギュストロダン,ゴリアット,レベルスロマンス,0,競馬,4
2024年のマイルチャンピオンシップを制した馬は？,ソウルラッシュ,エルトンバローズ,ウインマーベル,ブレイディヴェーグ,0,競馬,3
2025年のマイルチャンピオンシップを制した馬は？,ジャンタルマンタル,ソウルラッシュ,エルトンバローズ,ニシノスーベニア,0,競馬,4
2024年の菊花賞を制した馬は？,アーバンシック,ヘデントール,アドマイヤテラ,ショウナンラプンタ,0,競馬,3
2025年の菊花賞を制した馬は？,エネルジコ,ヘデントール,メリオーレム,ウエストナウ,0,競馬,4
2025年の天皇賞（秋）を制した馬は？,マスカレードボール,ドウデュース,レーベンスティール,ジャンタルマンタル,0,競馬,3
2020年のチューリップ賞を制した馬は？,マルターズディオサ,クラヴァシュドール,レシステンシア,ウーマンズハート,0,競馬,4
2021年のチューリップ賞で同着優勝した2頭はメイケイエールと？,エリザベスタワー,ストゥーティ,タガノパッション,シャーレイポピー,0,競馬,5
2022年のチューリップ賞を制した馬は？,ナミュール,ピンハイ,サークルオブライフ,ウォーターナビレラ,0,競馬,4
2023年のチューリップ賞を制した馬は？,モズメイメイ,コナコースト,ペリファーニア,ドゥーラ,0,競馬,4
2024年のチューリップ賞を制した馬は？,スウィープフィート,セキトバイースト,ハワイアンティアレ,タガノエルピーダ,0,競馬,4
2025年のチューリップ賞を制した馬は？,クリノメイ,ダンツエラン,ブラウンラチェット,ゴーソーファー,0,競馬,5
2020年の弥生賞ディープインパクト記念を制した馬は？,サトノフラッグ,ワーケア,オーソリティ,ブラックホール,0,競馬,4
2021年の弥生賞ディープインパクト記念を制した馬は？,タイトルホルダー,シュネルマイスター,ダノンザキッド,ソーヴァリアント,0,競馬,4
2022年の弥生賞ディープインパクト記念を制した馬は？,アスクビクターモア,ドウデュース,ボーンディスウェイ,ジャスティンロック,0,競馬,4
2023年の弥生賞ディープインパクト記念を制した馬は？,タスティエーラ,トップナイフ,ワンダイレクト,グリューネグリーン,0,競馬,4
2024年の弥生賞ディープインパクト記念を制した馬は？,コスモキュランダ,シンエンペラー,シリウスコルト,トロヴァトーレ,0,競馬,4
2025年の弥生賞ディープインパクト記念を制した馬は？,ファウストラーゼン,ピコチャンブラック,マスカレードボール,シンフォーエバー,0,競馬,5
2020年の青葉賞を制した馬は？,オーソリティ,ヴァルコス,フィリオアレグロ,サトノフウジン,0,競馬,4
2021年の青葉賞を制した馬は？,ワンダフルタウン,キングストンボーイ,レッドヴェロシティ,アオイショー,0,競馬,4
2022年の青葉賞を制した馬は？,プラダリア,ロードレゼル,エターナルビクトリ,レヴァンジル,0,競馬,4
2023年の青葉賞を制した馬は？,スキルヴィング,ハーツコンチェルト,ティムール,メイテソーロ,0,競馬,4
2024年の青葉賞を制した馬は？,シュガークン,ショウナンラプンタ,デュアルウィルダー,サトノシュトラーセ,0,競馬,4
2025年の青葉賞を制した馬は？,エネルジコ,アマキヒ,サトノシャイニング,タイセイカレント,0,競馬,5
2020年の神戸新聞杯を制した馬は？,コントレイル,ヴェルトライゼンデ,ロバートソンキー,ディープボンド,0,競馬,4
2021年の神戸新聞杯を制した馬は？,ステラヴェローチェ,レッドジェネシス,モンテディオ,シャフリヤール,0,競馬,4
2022年の神戸新聞杯を制した馬は？,ジャスティンパレス,ヤマニンゼスト,ボルドグフーシュ,ヴェローナシチー,0,競馬,4
2023年の神戸新聞杯を制した馬は？,サトノグランツ,サヴォーナ,ファントムシーフ,ハーツコンチェルト,0,競馬,4
2024年の神戸新聞杯を制した馬は？,メイショウタバル,ジューンテイク,ショウナンラプンタ,オールセインツ,0,競馬,4
2025年の神戸新聞杯を制した馬は？,エリキング,ジャスティンビスタ,ショウヘイ,カナルビーグル,0,競馬,5
2020年の毎日王冠を制した馬は？,サリオス,ダイワキャグニー,サンレイポケット,カデナ,0,競馬,4
2021年の毎日王冠を制した馬は？,シュネルマイスター,ダノンキングリー,ポタジェ,ダイワキャグニー,0,競馬,4
2022年の毎日王冠を制した馬は？,サリオス,ジャスティンカフェ,ダノンキッド,レイパパレ,0,競馬,4
2023年の毎日王冠を制した馬は？,エルトンバローズ,ソングライン,シュネルマイスター,アドマイヤハダル,0,競馬,4
2024年の毎日王冠を制した馬は？,シックスペンス,ホウオウビスケッツ,エルトンバローズ,ローシャムパーク,0,競馬,4
2025年の毎日王冠を制した馬は？,レーベンスティール,シックスペンス,ヨーホーレイク,エルトンバローズ,0,競馬,5
2024年の天皇賞（春）を制した馬は？,テーオーロイヤル,ブローザホーン,ディープボンド,プリュムドール,0,競馬,3
2025年の天皇賞（春）を制した馬は？,ヘデントール,ドゥレッツァ,テーオーロイヤル,サリエラ,0,競馬,4
2024年のNHKマイルカップを制した馬は？,ジャンタルマンタル,アスコリピチェーノ,ロジリオン,ゴンバデカーブース,0,競馬,3
2025年のNHKマイルカップを制した馬は？,パンジャタワー,マスカレードボール,ロブチェン,アルマヴェローチェ,0,競馬,4
2024年のヴィクトリアマイルを制した馬は？,テンハッピーローズ,フィアスプライド,マスクトディーヴァ,ナミュール,0,競馬,3
2025年のヴィクトリアマイルを制した馬は？,アスコリピチェーノ,ステレンボッシュ,ブレイディヴェーグ,チェルヴィニア,0,競馬,4
2024年の安田記念を制した香港馬は？,ロマンチックウォリアー,ヴォイッジバブル,ソウルラッシュ,セリフォス,0,競馬,3
2025年の安田記念を制した馬は？,ジャンタルマンタル,アスコリピチェーノ,セリフォス,ソウルラッシュ,0,競馬,4
2024年の宝塚記念を制した馬は？,ブローザホーン,ソールオリエンス,ベラジオオペラ,プラダリア,0,競馬,3
2025年の宝塚記念を制した馬は？,メイショウタバル,ベラジオオペラ,ドウデュース,ジャスティンパレス,0,競馬,4
2024年のスプリンターズステークスを制した馬は？,ルガル,トウシンマカオ,ナムラクレア,ママコチャ,0,競馬,3
2025年のスプリンターズステークスを制した馬は？,ウインカーネリアン,トウシンマカオ,サトノレーヴ,ルガル,0,競馬,4
2024年の秋華賞を制した馬は？,チェルヴィニア,ボンドガール,ステレンボッシュ,ミアネーロ,0,競馬,3
2025年の秋華賞を制した馬は？,エンブロイダリー,カムニャック,サフィラ,アドマイヤマツリ,0,競馬,4
2024年のエリザベス女王杯を制した馬は？,スタニングローズ,ラヴェル,ホールネス,シンリョクカ,0,競馬,3
2025年のエリザベス女王杯を制した馬は？,レガレイラ,エンブロイダリー,スタニングローズ,ブレイディヴェーグ,0,競馬,4
2024年のホープフルステークスを制した馬は？,クロワデュノール,サトノカルナバル,アルテヴェローチェ,マジックサンズ,0,競馬,4
2025年のホープフルステークスを制した馬は？,ロブチェン,カヴァレリッツォ,エコロデュエル,ニシノデイジー,0,競馬,4
GⅠレース6連勝（海外含む）の記録を持つ馬はイクイノックスともう一頭は？,ロードカナロア,アーモンドアイ,ディープインパクト,コントレイル,0,競馬,5
2025年現在、国内だけで稼いだ獲得賞金が歴代1位の競走馬は？,フォーエバーヤング,キタサンブラック,イクイノックス,テイエムオペラオー,0,競馬,5
