問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号(0-3),カテゴリー(パーティ/歴史/マインクラフト/F1),難易度(1-5)
2010年バンクーバー五輪のスピードスケート女子チームパシュートで銀メダルを獲得した日本チームのメンバーに含まれない選手は？,小平奈緒,田畑真紀,穂積雅子,髙木美帆,3,冬季五輪,4
2022年北京五輪のスローガンは？,Together for a Shared Future,Passion. Connected.,Hot. Cool. Yours.,Light the Fire Within.,0,冬季五輪,3
2018年平昌五輪のアイスホッケー女子で話題となった南北合同チームの監督は誰が務めたか？,北朝鮮の監督,韓国の監督,セラ・マレー（カナダ出身）,IOCの指名監督,2,冬季五輪,5
2014年ソチ五輪のテーマ（スローガン）は？,Passion. Connected.,Hot. Cool. Yours.,Light the Fire Within.,Passion lives here.,1,冬季五輪,3
2002年ソルトレークシティ五輪のスピードスケート男子500mで銀メダルを獲得した選手は？,清水宏保,武田豊樹,堀井学,黒岩彰,0,冬季五輪,2
2018年平昌五輪で、日本のメダル獲得総数はいくつか（冬季大会最多）？,10個,11個,13個,15個,2,冬季五輪,3
2022年北京五輪のフィギュアスケート男子シングルで銀メダルを獲得した選手は？,宇野昌磨,鍵山優真,羽生結弦,ネイサン・チェン,1,冬季五輪,2
2006年トリノ五輪のカーリング女子日本代表の最終順位は？,5位,6位,7位,8位,2,冬季五輪,4
2010年バンクーバー五輪のスピードスケート男子500mで銅メダルを獲得した選手は？,長島圭一郎,加藤条治,及川佑,太田明生,1,冬季五輪,3
2014年ソチ五輪のスノーボード男子ハーフパイプで銀メダルを獲得した選手は？,平野歩夢,平岡卓,ショーン・ホワイト,ユーリ・ポドラドチコフ,0,冬季五輪,2
2018年平昌五輪のスピードスケート女子500mで金メダルを獲得した小平奈緒が出した記録は？,世界新記録,五輪新記録,日本新記録,リンク新記録,1,冬季五輪,2
2022年北京五輪のメイン会場「鳥の巣（国家体育場）」の特徴は？,開閉会式のみに使用された,アイスホッケー会場として使用された,フィギュアスケート会場として使用された,スキージャンプ会場として使用された,0,冬季五輪,3
2002年ソルトレークシティ五輪のテーマ（スローガン）は？,Light the Fire Within,Passion lives here,Hot. Cool. Yours.,With Glowing Hearts,0,冬季五輪,3
2010年バンクーバー五輪の開会式の特徴として正しいものは？,史上初めて屋内で行われた,史上初めて夜間以外に行われた,史上初めて無観客で行われた,史上初めて水上で行われた,0,冬季五輪,3
2014年ソチ五輪で、開催国ロシアがドーピング問題により一時多くのメダルを剥奪されたが、その後のスポーツ仲裁裁判所の決定などを経て最終的に剥奪された金メダルの枚数は？,0枚,2枚,4枚,10枚,1,冬季五輪,4
2018年平昌五輪のフィギュアスケート男子シングルで、羽生結弦と宇野昌磨の順位は？,金と銀,金と銅,銀と銅,金と4位,0,冬季五輪,2
2006年トリノ五輪のフリースタイルスキー女子モーグルで5位入賞した選手は？,上村愛子,里谷多英,伊藤みき,畑中みゆき,0,冬季五輪,4
2022年北京五輪に対し、アメリカやイギリスなどが表明した「外交的ボイコット」とは？,選手団を派遣しない,政府代表者を派遣しない,スポンサーを撤退させる,テレビ中継を中止する,1,冬季五輪,2
2002年ソルトレークシティ五輪の開会宣言を行った人物は？,ビル・クリントン,ジョージ・W・ブッシュ,バラク・オバマ,ロナルド・レーガン,1,冬季五輪,3
2014年ソチ五輪のスキージャンプ男子ラージヒル団体で、日本が獲得したメダルの色は？,金,銀,銅,なし,2,冬季五輪,3
2010年バンクーバー五輪のフリースタイルスキー女子モーグルで、上村愛子は何位に入賞したか？,2位,3位,4位,5位,2,冬季五輪,3
2022年北京五輪のフリースタイルスキー男子モーグルで銅メダルを獲得した選手は？,原大智,堀島 行真,杉本幸祐,松田颯,1,冬季五輪,3
2018年平昌五輪のフリースタイルスキー男子モーグルで銅メダルを獲得した選手は？,原大智,遠藤尚,西伸幸,附田雄剛,0,冬季五輪,3
2006年トリノ五輪のスピードスケート男子500mで6位入賞した選手は？,及川佑,加藤条治,清水宏保,長島圭一郎,1,冬季五輪,5
2014年ソチ五輪のスノーボード女子パラレル大回転で銀メダルを獲得した選手は？,竹内智香,家根谷依里,黒田愛美,岩渕麗楽,0,冬季五輪,3
2010年バンクーバー五輪のスピードスケート女子3000mで6位入賞した選手は？,穂積雅子,田畑真紀,石野枝里子,髙木美帆,0,冬季五輪,5
2022年北京五輪のフィギュアスケート女子シングルで銅メダルを獲得した選手は？,樋口新葉,河辺愛菜,坂本花織,宮原知子,2,冬季五輪,2
2002年ソルトレークシティ五輪のスピードスケート女子500mで6位入賞した選手は？,大菅小百合,岡崎朋美,三宮恵利子,渡邊ゆかり,1,冬季五輪,4
2018年平昌五輪のスノーボード女子ビッグエアで4位入賞した選手は？,鬼塚雅,藤森由香,岩渕麗楽,広野あさみ,2,冬季五輪,4
2014年ソチ五輪のフィギュアスケート男子シングルで5位入賞した選手は？,髙橋大輔,町田樹,小塚崇彦,織田信成,1,冬季五輪,4
2006年トリノ五輪のアルペンスキー男子回転で4位入賞した選手は？,皆川賢太郎,佐々木明,湯浅直樹,木村公宣,0,冬季五輪,4
2022年北京五輪のスピードスケート女子チームパシュートで、日本チーム（髙木美、髙木菜、佐藤）は何色のメダルを獲得したか？,金,銀,銅,転倒により失格,1,冬季五輪,2
2010年バンクーバー五輪のフィギュアスケート男子シングルで7位入賞した選手は？,小塚崇彦,織田信成,髙橋大輔,本田武史,1,冬季五輪,4
2018年平昌五輪のカーリング男子日本代表（SC軽井沢クラブ）の最終順位は？,6位,7位,8位,9位,2,冬季五輪,5
夏季・冬季の両方のオリンピックを開催した史上初の都市は？,ロンドン,東京,パリ,北京,3,冬季五輪,2
2002年ソルトレークシティ五輪の開会式で、ブッシュ大統領が開会宣言の直前に付け加えたことで「政治的利用」と批判された言葉は？,神の御加護を,自由の国を代表して,誇り高く優雅なこの国を代表して,テロに屈しない国を代表して,2,冬季五輪,4
2002年ソルトレークシティ五輪の閉会式後、地元メディアから揶揄された大会の呼び名は？,モルモン教の五輪,アメリカのための五輪,厳戒態勢の五輪,疑惑の五輪,1,冬季五輪,4
2006年トリノ五輪の開会式で、日本選手団の入場順が「ドイツ」と「イギリス」の間（32番目）だった理由は？,イタリア語表記でGiapponeだから,前回開催国だったから,メダル獲得予想順だったから,IOCコード順だったから,0,冬季五輪,3
2006年トリノ五輪の開会式で、F1マシンに乗って登場したドライバーは？,ミハエル・シューマッハ,ジャン・アレジ,ルカ・バドエル,キミ・ライコネン,2,冬季五輪,5
2006年トリノ五輪の男子カーリング3位決定戦で発生した珍事は？,停電で試合が中断した,ストリーキング男が乱入した,選手が石を間違えた,屋根から水漏れがした,1,冬季五輪,5
2010年バンクーバー五輪のメダルは、環境への配慮から何を利用して作られたか？,再生ガラス,廃棄された家電製品（電子廃棄物）,リサイクルされたアルミ缶,倒木した木材,1,冬季五輪,4
2010年バンクーバー五輪の公式マスコットではないが、人気が出て「応援団」として位置づけられたキャラクターは？,ミーガ,クワッチ,スーミ,ムクムク,3,冬季五輪,4
2010年バンクーバー五輪の開会式で、聖火点灯時に起きたトラブルは？,聖火がすぐに消えた,4本の柱のうち1本が上がらなかった,点火者が聖火台に届かなかった,聖火台が倒れた,1,冬季五輪,3
2010年バンクーバー五輪は、開会式に関して「五輪史上初」となる特徴があったが、それは何か？,夜間ではなく昼間に行われた,屋内で行われた,無観客で行われた,2カ所で同時に行われた,1,冬季五輪,3
2014年ソチ五輪で、2月15日に金メダルを獲得した選手に授与された「記念メダル」に埋め込まれていたものは？,月の石,チェリャビンスク隕石の破片,バイカル湖の小石,シベリアの永久凍土,1,冬季五輪,4
2014年ソチ五輪の開催費用は、当時の五輪史上最高額と言われたが、その推定額は約いくらか？,約120億ドル,約300億ドル,約510億ドル,約800億ドル,2,冬季五輪,3
2014年ソチ五輪の開会式前、インドの選手団が国旗ではなく五輪旗で入場しなければならなかった理由は？,インド政府がIOCに介入し資格停止中だったため,参加費を支払わなかったため,国旗のデザイン変更中だったため,ドーピング問題による制裁のため,0,冬季五輪,4
2014年ソチ五輪のマスコットの一つ「ホッキョクグマ」の設定上の祖父とされる、有名な五輪マスコットは？,イーグルサム,コビー,ミーシャ,ホドリ,2,冬季五輪,4
2018年平昌五輪の開会式で、極寒の中、上半身裸にココナッツオイルを塗って登場し話題になった旗手はどこの国か？,ジャマイカ,トンガ,バミューダ,フィジー,1,冬季五輪,2
2018年平昌五輪の期間中、組織委員会やWi-Fiシステムに対して行われたサイバー攻撃の回数は約何回とされているか？,約100万回,約5000万回,約1億回,約6億回,3,冬季五輪,5
2018年平昌五輪の開催直前、警備員宿舎で集団発生し、軍人が代行する事態となったトラブルの原因は？,インフルエンザ,ノロウイルス（食中毒）,ストライキ,ボヤ騒ぎ,1,冬季五輪,4
2018年平昌五輪で、アメリカのNBC解説者が開会式中に発言し、韓国国内で激しい批判を浴びて謝罪した内容は？,韓国料理に関する誤った説明,日本の植民地支配が韓国の発展の手本になったという趣旨の発言,北朝鮮との関係に関する政治的発言,韓国の気候に関する侮蔑的発言,1,冬季五輪,5
2018年平昌五輪の公式ウェブサイトで、一時的に「あるもの」が描かれていない世界地図が掲載され、日本政府が抗議した。何がなかったか？,日本列島,沖縄,北海道,竹島,0,冬季五輪,4
2018年平昌五輪で初めて冬季五輪に参加した国に含まれるのは？,マレーシア,タイ,フィリピン,ベトナム,0,冬季五輪,4
2018年平昌五輪女子スノーボードスロープスタイル決勝で、強風のため出場した25人全員に起きたことは？,競技棄権,スタート位置の変更,試技での転倒,得点の取り消し,2,冬季五輪,4
2022年北京五輪の外交的ボイコットを、世界で最初に正式発表した国は？,アメリカ,イギリス,リトアニア,オーストラリア,2,冬季五輪,4
2022年北京五輪に対し、インドが外交的ボイコットを表明した具体的な理由は？,ウイグル問題への抗議,聖火ランナーに中印国境紛争の兵士が起用されたため,選手のビザが発給されなかったため,新型コロナ対策への不満,1,冬季五輪,5
2022年北京五輪のマスコット「ビンドゥンドゥン」に関して、中国のネット上で批判が殺到した「中の人」のハプニングは？,着ぐるみを脱いで顔を見せた,おじさんの声で喋った,転倒して起き上がれなかった,別のマスコットの衣装を着ていた,1,冬季五輪,5
2022年北京五輪の招致活動中、公式ソングが「あるディズニー映画の曲」に酷似していると指摘されたが、その映画は？,モアナと伝説の海,リメンバー・ミー,アナと雪の女王,塔の上のラプンツェル,2,冬季五輪,3
2022年北京五輪の開会式で、韓国国内から「文化盗用」だとして抗議の声が上がった演出は？,キムチを食べるシーン,アリランの演奏,朝鮮族代表の少女がチマチョゴリを着ていたこと,テコンドーの演舞,2,冬季五輪,4
2018年平昌五輪の女子アイスホッケーで結成された「南北合同チーム」に対し、スイスや日本が反対した理由は？,政治的宣伝になるから,北朝鮮への制裁違反になるから,選手の登録人数が増え公平性が損なわれるから,安全が確保できないから,2,冬季五輪,4
2010年バンクーバー五輪の大会スローガン「With Glowing Hearts」は、何の歌詞の一節か？,ビートルズの曲,セリーヌ・ディオンの曲,カナダ国歌,オリンピック賛歌,2,冬季五輪,4
2002年ソルトレークシティ五輪の開会式で、最終聖火ランナーを務めたのは1980年レークプラシッド大会のどのアメリカ代表チームか？,バスケットボール,アイスホッケー,ボブスレー,スピードスケート,1,冬季五輪,4
2018年平昌五輪に参加した国・地域の数はいくつか（当時史上最多）？,88,90,92,95,2,冬季五輪,3
2022年北京五輪の開会式で、最終聖火ランナーを務めた2人のうち、1人はウイグル族の選手だったが、その意図は何と見られているか？,民族融和のアピールと人権批判への反論,ウイグル族の伝統文化の紹介,冬季競技の普及,単なる偶然,0,冬季五輪,4
2014年ソチ五輪のフィギュアスケート種目で、この大会から新しく採用されたものは？,アイスダンス,ペア,団体,シンクロナイズドスケーティング,2,冬季五輪,2
2006年トリノ五輪の閉会式中に乱入した男の目的は？,政治的抗議,イタリア人に挨拶したかっただけ,テロの予告,有名になりたかった,1,冬季五輪,5
2010年バンクーバー五輪のリュージュ競技で、開会式前にグルジアの選手が事故死したことを受け、とられた安全対策は？,競技の中止,コースの短縮（スタート位置を下げる）,ソリの重量制限,コースの壁を撤去,1,冬季五輪,4
2022年北京五輪で、北朝鮮が不参加となった理由は？,新型コロナウイルス対策の入国制限,IOCによる資格停止処分,外交的ボイコット,選手の怪我,1,冬季五輪,3
2018年平昌五輪のボランティアスタッフが、大会直前に大量に辞退・ボイコットした主な理由は？,ユニフォームのデザインが気に入らない,待遇（宿泊・輸送・防寒対策）の劣悪さ,仕事内容の変更,賃金の未払い,1,冬季五輪,3
2002年ソルトレークシティ五輪のショートトラック男子1000mで、韓国の金東聖が失格になったことに対し、韓国のネットユーザーが行った抗議行動は？,IOC本部へのデモ,IOCサーバーへのサイバーテロ（メール攻撃）,米国製品の不買運動,選手村の封鎖,1,冬季五輪,4
2014年ソチ五輪で、当初の予算120億ドルが大幅に増額された主な理由は？,テロ対策費の増大,インフラ（道路・鉄道・発電所）整備の遅れと新規事業,選手の招致費用,開会式の演出変更,1,冬季五輪,4
2022年北京五輪のスノーボード競技会場「ビッグエア首鋼」は、元々何の跡地に建設されたか？,製鉄所,空港,発電所,軍事基地,0,冬季五輪,4
2010年バンクーバー五輪の閉会式で、開会式の聖火トラブルを逆手にとった演出として登場したのは？,消防士,電気工事作業員（ピエロ）,マジシャン,きこり,1,冬季五輪,4
2018年平昌五輪の開会式リハーサルの写真を配信したため、本番の取材パスを剥奪された通信社は？,AP通信,AFP通信,ロイター通信,共同通信,2,冬季五輪,5
2006年トリノ五輪の聖火トーチをデザインしたピニンファリーナ在籍の日本人デザイナーは？,佐藤可士和,奥山清行,吉岡徳仁,隈研吾,1,冬季五輪,4
2022年北京五輪の開会式で、入場行進の際、台湾の選手団の呼称はどのようにアナウンスされたか？,台湾,中華民国,チャイニーズ・タイペイ,フォルモサ,2,冬季五輪,3
2014年ソチ五輪で、スキージャンプなどの競技がナイター開催となった主な理由は？,気温が低すぎるため,雪質を保つため,欧米のテレビ放送時間に合わせるため,照明演出を行うため,2,冬季五輪,4
2018年平昌五輪で、北朝鮮の美女軍団が宿泊し、公演も行った自治体は？,平昌郡,江陵市,麟蹄郡,ソウル特別市,2,冬季五輪,5
2022年北京五輪で、IOCが海外からの観客受け入れを断念し、チケットの一般販売も中止して行った措置は？,完全無観客,招待客のみの観戦（特定グループへの配分）,オンライン観戦のみ,選手家族のみ招待,1,冬季五輪,3
2010年バンクーバー五輪のアイスホッケー会場で、国際ルール（IIHF）よりも狭いリンクが使用された理由は？,会場が狭かったから,NHLサイズの既存リンクを使用したから,スピード感を出すため,建設費削減のため,1,冬季五輪,3
2002年ソルトレークシティ五輪のフィギュアスケート・ペア競技で、不正採点疑惑の末に金メダルが授与されたのは、ロシアのペアともう一組どこの国のペアか？,アメリカ,中国,カナダ,フランス,2,冬季五輪,3
2018年平昌五輪の前夜祭として予定されていたが、北朝鮮側の通告により中止された行事は？,ソウル公演,金剛山文化行事,板門店コンサート,平壌交響楽団公演,1,冬季五輪,5
2014年ソチ五輪閉幕後、ロシアによる大規模なドーピング発覚により、一時は何枚のメダルが剥奪対象とされたか（後に一部返還）？,5枚,9枚,13枚,20枚,2,冬季五輪,4
2022年北京五輪の開会式で、入場行進の最後に登場したのは開催国中国だが、その一つ前に入場した国はどこか（次期開催国）？,フランス,アメリカ,イタリア,オーストラリア,2,冬季五輪,3
